trial_id,number_of_countries,min_end_date,max_end_date,comp_date,has_results,includes_pip,rare_disease,phase,bioequivalence_study,health_volunteers,trial_status,terminated,sponsor_status
2004-000909-22,1,,,0,0,0,0,3,0,0,0,0,1
2004-000912-13,7,,,0,1,0,0,3,0,0,2,0,1
2004-000913-21,4,2006-09-25,2006-12-19,3,1,0,0,3,0,0,1,0,1
2004-000914-37,1,,,0,0,0,0,3,0,0,0,0,1
2004-000915-25,1,2007-06-05,2007-06-05,1,1,0,0,3,0,0,1,1,1
2004-000916-25,1,,,0,0,0,3,3,0,0,1,0,1
2004-000919-26,2,,,0,0,0,0,2,0,0,0,0,0
2004-000922-59,4,2009-07-03,2009-07-03,2,1,0,0,3,0,0,2,0,1
2004-000929-30,1,,,0,0,0,3,3,0,0,1,0,1
2004-000930-35,2,,,0,1,0,1,3,0,0,1,0,1
2004-000933-12,1,,,0,0,0,0,3,0,0,0,0,1
2004-000935-27,1,,,0,1,0,0,3,0,0,0,0,1
2004-000940-26,3,2005-09-04,2005-10-14,2,0,0,0,4,0,0,1,0,1
2004-000944-26,1,,,0,0,0,0,3,0,0,0,0,0
2004-000948-25,1,,,0,0,0,0,4,0,0,0,0,0
2004-000953-46,1,,,0,1,0,0,3,0,0,1,0,1
2004-000954-22,1,,,0,1,0,0,3,0,0,1,0,1
2004-000955-40,1,,,0,1,0,0,2,0,0,1,0,1
2004-000957-47,1,,,0,0,0,0,3,0,0,0,0,0
2004-000959-42,1,,,0,1,0,0,4,0,0,0,0,1
2004-000960-28,6,2007-10-31,2007-10-31,3,1,0,0,3,0,0,2,0,1
2004-000962-11,1,,,0,1,0,0,2,0,0,1,0,1
